PTAXID,COMPANYID,BRANCHID,CLIENTID,DATE,VAT,INCOMETAX,DELETESTATUS,CREATEDBY,CREATEDDATETIME,MODIFIEDBY,MODIFIEDDATETIME
381,1000,1,29,12/31/2018 0:00,0,0,FALSE,41,10:49.7,,
383,1000,1,68,12/31/2018 0:00,0,0,FALSE,1,19:28.6,,
384,1000,1,2,12/31/2018 0:00,0,0,FALSE,41,21:49.5,,
385,1000,1,7,11/30/2018 0:00,4285,1135,FALSE,41,23:15.0,41,51:22.2
387,1000,1,56,12/31/2018 0:00,0,0,FALSE,41,25:15.5,,
388,1000,1,23,12/31/2018 0:00,0,82,FALSE,41,08:00.3,,
389,1000,1,31,12/31/2018 0:00,1739,355,FALSE,41,24:09.0,,
390,1000,1,37,12/31/2018 0:00,0,0,FALSE,41,02:02.5,,
391,1000,1,90,12/31/2018 0:00,247,9,FALSE,41,19:09.2,,
393,1000,1,81,12/31/2018 0:00,0,0,FALSE,1,44:39.6,,
394,1000,1,86,12/31/2018 0:00,0,0,FALSE,1,48:17.9,,
395,1000,1,43,12/31/2018 0:00,0,0,FALSE,1,35:21.8,,
396,1000,1,70,12/31/2018 0:00,154,1166,FALSE,1,55:59.4,,
397,1000,1,78,12/31/2018 0:00,0,0,FALSE,1,48:08.7,,
405,1000,1,93,12/31/2018 0:00,0,0,FALSE,41,27:06.7,,
406,1000,1,73,10/31/2018 0:00,0,0,FALSE,1,54:23.4,,
407,1000,1,73,12/31/2018 0:00,6721,0,FALSE,1,55:12.7,,
408,1000,1,30,1/31/2019 0:00,5,0,FALSE,1,49:21.3,1,44:15.5
409,1000,1,4,1/31/2019 0:00,0,474,FALSE,1,42:30.6,,
410,1000,1,3,1/31/2019 0:00,0,825,FALSE,1,23:21.8,1,12:37.9
413,1000,1,43,1/31/2019 0:00,0,0,FALSE,1,24:23.6,,
415,1000,1,21,1/31/2019 0:00,0,0,FALSE,1,03:14.9,,
416,1000,1,64,1/31/2019 0:00,2133,2000,FALSE,41,17:25.5,,
417,1000,1,87,1/31/2019 0:00,0,0,FALSE,1,08:32.8,,
418,1000,1,70,1/31/2019 0:00,1415,719,FALSE,1,28:56.8,,
419,1000,1,53,1/31/2019 0:00,7439,15173,FALSE,41,01:55.6,,
420,1000,1,49,1/31/2019 0:00,1198,980,FALSE,41,34:57.3,,
421,1000,1,39,1/31/2019 0:00,0,0,FALSE,41,45:38.0,,
422,1000,1,20,1/31/2019 0:00,0,0,FALSE,41,52:33.2,,
424,1000,1,62,1/31/2019 0:00,0,0,FALSE,41,05:01.2,,
425,1000,1,41,1/31/2019 0:00,0,0,FALSE,41,21:10.1,,
426,1000,1,29,1/31/2019 0:00,0,0,FALSE,41,26:44.9,,
427,1000,1,93,1/31/2019 0:00,0,0,FALSE,41,42:27.8,,
429,1000,1,54,1/30/2019 0:00,0,0,FALSE,1,55:19.6,,
430,1000,1,78,1/30/2019 0:00,0,397,FALSE,1,58:01.0,1,10:49.9
432,1000,1,63,1/31/2019 0:00,0,4701,FALSE,41,15:46.3,1,19:30.8
434,1000,1,2,1/31/2019 0:00,0,0,FALSE,41,41:49.7,,
435,1000,1,24,1/31/2019 0:00,0,0,FALSE,1,37:34.0,,
436,1000,1,81,1/31/2019 0:00,0,870,FALSE,1,30:59.2,,
437,1000,1,80,1/31/2019 0:00,0,0,FALSE,1,40:38.6,,
438,1000,1,30,2/28/2019 0:00,0,0,FALSE,1,43:17.5,,
439,1000,1,1,2/28/2019 0:00,0,0,FALSE,1,19:33.5,,
440,1000,1,40,2/28/2019 0:00,0,0,FALSE,1,25:54.9,,
441,1000,1,4,2/28/2019 0:00,0,474,FALSE,1,41:46.5,,
442,1000,1,43,2/28/2019 0:00,0,0,FALSE,1,40:20.8,,
444,1000,1,21,2/28/2019 0:00,0,685,FALSE,1,16:19.7,,
445,1000,1,24,2/28/2019 0:00,0,0,FALSE,1,47:00.1,,
446,1000,1,68,2/28/2019 0:00,0,0,FALSE,1,04:24.0,,
447,1000,1,78,2/28/2019 0:00,0,471,FALSE,1,21:05.4,,
448,1000,1,54,2/28/2019 0:00,0,19,FALSE,1,40:19.1,,
452,1000,1,3,2/28/2019 0:00,0,813,FALSE,1,57:30.2,,
453,1000,1,62,2/28/2019 0:00,0,0,FALSE,41,03:59.0,,
454,1000,1,80,2/28/2019 0:00,0,7668,FALSE,1,15:56.0,,
455,1000,1,63,2/28/2019 0:00,524,0,FALSE,41,33:47.3,,
456,1000,1,63,2/27/2019 0:00,0,846,FALSE,41,35:53.6,,
457,1000,1,81,2/28/2019 0:00,0,483,FALSE,1,37:18.8,,
458,1000,1,41,2/28/2019 0:00,0,0,FALSE,41,48:17.5,,
459,1000,1,29,2/28/2019 0:00,0,0,FALSE,41,57:48.4,,
460,1000,1,93,2/28/2019 0:00,0,0,FALSE,41,04:49.5,,
461,1000,1,86,2/28/2019 0:00,6428,2126,FALSE,1,05:32.2,,
462,1000,1,70,2/28/2019 0:00,670,197,FALSE,1,21:45.4,,
463,1000,1,56,2/28/2019 0:00,0,75,FALSE,41,3/11/2019 13:35,,
464,1000,1,87,2/28/2019 0:00,0,0,FALSE,1,10:31.0,,
465,1000,1,95,2/28/2019 0:00,1239,0,FALSE,1,19:25.5,,
466,1000,1,73,2/28/2019 0:00,22411,0,FALSE,1,01:34.0,,
467,1000,1,23,2/28/2019 0:00,375,23,FALSE,41,19:54.2,,
468,1000,1,31,2/28/2019 0:00,450,31,FALSE,41,40:40.7,,
469,1000,1,37,2/28/2019 0:00,0,0,FALSE,41,45:18.3,,
471,1000,1,91,2/28/2019 0:00,0,0,FALSE,41,40:41.9,,
472,1000,1,94,2/28/2019 0:00,160,0,FALSE,1,06:32.3,,
473,1000,1,20,2/28/2019 0:00,0,0,FALSE,41,31:57.2,,
474,1000,1,101,1/31/2019 0:00,2237,0,FALSE,1,37:58.5,,
475,1000,1,101,2/28/2019 0:00,0,0,FALSE,1,38:23.6,,
476,1000,1,39,2/28/2019 0:00,0,870,FALSE,41,54:56.4,,
477,1000,1,38,2/28/2019 0:00,0,0,FALSE,41,00:46.1,,
478,1000,1,49,2/28/2019 0:00,980,1745,FALSE,41,08:28.5,,
479,1000,1,49,2/27/2019 0:00,0,0,FALSE,41,09:20.7,,
480,1000,1,90,2/28/2019 0:00,471,17,FALSE,41,43:35.7,,
481,1000,1,2,2/28/2019 0:00,0,0,FALSE,41,31:09.8,,
482,1000,1,64,2/28/2019 0:00,2133,2000,FALSE,41,36:24.4,,
484,1000,1,97,2/28/2019 0:00,257,82,FALSE,41,53:17.1,,
485,1000,1,53,2/28/2019 0:00,3249,9635,FALSE,41,07:37.7,,
486,1000,1,7,12/31/2018 0:00,4202,2198,FALSE,41,44:06.9,,
487,1000,1,7,2/28/2019 0:00,877,0,FALSE,41,41:05.0,,
489,1000,1,93,3/31/2019 0:00,0,0,FALSE,41,26:52.0,,
491,1000,1,62,3/31/2019 0:00,0,0,FALSE,41,07:26.9,,
492,1000,1,106,3/31/2019 0:00,201,5090,FALSE,1,25:47.6,,
493,1000,1,105,3/31/2019 0:00,0,0,FALSE,1,27:12.9,,
494,1000,1,56,3/31/2019 0:00,0,0,FALSE,41,46:49.3,,
495,1000,1,43,3/31/2019 0:00,0,0,FALSE,41,02:24.2,,
496,1000,1,29,3/31/2019 0:00,0,0,FALSE,41,40:58.9,,
